Capa,Var_capa,Variable,Semaforo,Frec_valores,Tem_Rinde,color,value,Rinde_restante,Rinde_Total,Porc_33,Num_values,P0,P1,P2,R_Ini,R_Fin,Rangos,pos,Rinde_,Rinde_T,Perdida,Ajuste,Porc_P,Porc_Perd,Perd_kg_h,C_esp_kg_h,area
siembra,Elev_,Elev,1,48.3,234453.19,y,1.5,271432.81,462743.32,46.35,9,19.42,46.35,34.24,128.3,129.1,"129.19999,130.0;128.3,129.1;127.4,128.19999","0,2,1",505886.0,462743.32,10785.67,46.35,2.13,5.16,722.4,14000.0,125
siembra,Vel_,Vel,2,72.57,337579.85,darkgreen,2.5,128750.47,466330.32,72.39,291,3.71,23.9,72.39,4.511,6.1557,"7.2678,8.4587;6.159,7.2662;4.511,6.1557","0,1,2",466330.32,466330.32,9888.92,72.39,1.95,0.11,15.4,14000.0,125
siembra,Singu_,Singu,2,99.76,461781.21,darkgreen,2.5,981.31,505886.0,99.79,40,0.09,0.12,99.79,4.3,99.1304,"99.9174,100.0;99.1826,99.913;4.3,99.1304","0,1,2",462762.52,462762.52,0.0,99.79,0.0,0.01,1.4,14000.0,125
siembra,Seed_Cnt_,Seed_Cnt,0,52.51,152782.34,darkred,0.5,309960.98,462743.32,35.41,17743,33.02,35.41,31.58,534.5886,553.4471,"553.4496,605.7323;534.5886,553.4471;21.3907,534.58849","1,2,0",462743.32,462743.32,10785.67,35.41,2.13,4.07,569.8,14000.0,125
